19890	6	7.6	4.5	8.6
47791	5	7.8	9.3	9.4
76648	8	8.3	7.8	3.8
48196	8	10.2	3.6	8.0
57782	11	9.2	12.0	9.8
34052	10	10.9	2.8	11.4
24773	1	7.1	10.9	3.4
41039	3	7.0	14.5	6.4
63355	2	14.4	3.2	4.9
47435	10	9.2	12.1	13.5
16573	3	11.5	6.4	9.3
27409	11	14.7	5.0	13.3
26702	2	2.4	4.3	7.6
28696	10	1.4	14.2	1.6
48128	3	5.8	5.3	3.9
30213	11	14.9	1.6	5.1
71515	3	9.8	6.8	9.9
63417	11	6.6	3.7	11.1
15016	5	5.4	13.7	10.9
11720	2	10.7	4.4	8.3
15915	3	3.7	14.6	3.0
10389	6	4.6	5.8	3.0
79270	3	4.0	1.3	12.6
35393	9	8.1	6.2	3.4
51803	7	9.6	12.8	6.2
35472	9	8.3	10.5	2.3
40260	3	11.9	2.2	11.1
32516	11	13.7	11.1	3.1
48114	9	6.9	12.3	14.9
25020	2	8.5	4.0	1.6
37493	9	6.0	14.3	14.1
64642	2	7.9	8.2	12.2
45150	3	12.3	7.4	6.2
19137	10	11.8	9.9	8.9
27116	7	5.6	10.9	9.3
42021	2	14.1	6.8	6.4
71196	8	2.5	10.4	7.1
19103	7	3.4	5.4	10.7
63819	7	5.2	15.0	12.9
65568	4	7.9	12.8	5.2
42970	9	14.2	4.7	13.1
44910	9	10.3	12.9	10.5
34352	9	4.5	12.7	8.8
59780	9	5.5	5.6	13.5
29531	4	10.2	4.1	11.8
45147	7	9.7	10.9	8.7
40680	11	2.6	8.2	9.6
25367	8	13.7	7.4	13.5
24076	7	2.5	9.5	13.5
69466	4	2.5	5.1	10.0
67538	6	9.4	9.4	5.7
27034	8	9.7	5.6	14.1
43257	10	2.9	11.6	9.3
